portfolio,risk_currency,maturity_bucket,price,delta,gamma,vega,theta,rho,dv01,line_count
PF1_Defensive_Income,EUR,6M-1Y,12008.897854856354,0.0,0.0,0.0,0.0,839059.3668276415,-83.90593668276415,1
PF1_Defensive_Income,USD,0-6M,732425.5991022432,23223.122169970906,-2.001314820943776,-3689.2040207567625,-150276.71273417585,445296.5981605269,0.0,1
PF1_Defensive_Income,USD,6M-1Y,65.43587996332377,0.1107770755761654,-0.0013645324730457474,-24.910234663875997,3.7774661692970772,91.42766324612386,0.0,1
PF2_Equity_Yield,EUR,1Y-2Y,121988.21313808925,0.0,0.0,0.0,0.0,2854795.6735391924,-285.47956735391926,1
PF2_Equity_Yield,USD,5Y-10Y,86.1766607529178,0.30752588110959306,-23.865514636487482,-74.82683762909772,-3.041985707358954,-780.302725557083,0.0,1
PF2_Equity_Yield,USD,6M-1Y,110.58156781608166,0.22988377122137832,0.0019371019262380965,35.3627813948107,-8.276210024121314,120.71562804883513,0.0,1
PF3_Convexity_Protection,EUR,1Y-2Y,50307.37643349367,0.0,0.0,0.0,0.0,963192.8246656025,-96.31928246656025,1
PF3_Convexity_Protection,EUR,5Y-10Y,3.4924596548080444e-10,0.0,0.0,0.0,0.0,-2.3283064365386963e-06,2.3283064365386963e-10,1
PF3_Convexity_Protection,USD,0-6M,43095.960164989505,-836.0504278384655,-43.842188825383715,-339329.96385781834,165163.15582799225,14924.806366034409,0.0,1
PF4_Balanced_Multi_Product,EUR,10Y+,1997540.4968210577,0.0,0.0,0.0,0.0,89455301.46378325,-8945.530146378325,1
PF4_Balanced_Multi_Product,USD,0-6M,2051422.698009166,1321.4178560390865,-325.1496163503962,-2378175.6342798807,1208314.8583711851,-576259.7842178764,0.0,1
PF4_Balanced_Multi_Product,USD,1Y-2Y,47.00002645133897,0.07079100116083781,-0.0006376568006440283,-25.480728283697207,1.5038215302480862,146.78059565417783,0.0,1
PF4_Balanced_Multi_Product,USD,5Y-10Y,86.1766607529178,0.30752588110959306,-23.865514636487482,-74.82683762909772,-3.041985707358954,-780.302725557083,0.0,1
