portfolio,currency,risk_currency,product_class,underlying,risk_underlying,maturity_bucket,strike_bucket,price,delta,gamma,vega,theta,rho,dv01,line_count,gross_price
PF1_Defensive_Income,EUR,EUR,InterestRateSwap,EUR_RATE_CURVE,EUR_RATE_CURVE,6M-1Y,NA,12008.897854856354,0.0,0.0,0.0,0.0,839059.3668276415,-83.90593668276415,1,12008.897854856354
PF1_Defensive_Income,USD,USD,CallSpread,AAPL,AAPL,0-6M,atm,732425.5991022432,23223.122169970906,-2.001314820943776,-3689.2040207567625,-150276.71273417585,445296.5981605269,0.0,1,732425.5991022432
PF1_Defensive_Income,USD,USD,ReverseConvertible,AAPL,AAPL,6M-1Y,atm,65.43587996332377,0.1107770755761654,-0.0013645324730457474,-24.910234663875997,3.7774661692970772,91.42766324612386,0.0,1,65.43587996332377
PF2_Equity_Yield,EUR,EUR,InterestRateSwap,EUR_RATE_CURVE,EUR_RATE_CURVE,1Y-2Y,NA,121988.21313808925,0.0,0.0,0.0,0.0,2854795.6735391924,-285.47956735391926,1,121988.21313808925
PF2_Equity_Yield,USD,USD,AutocallProduct,AAPL,AAPL,5Y-10Y,NA,86.1766607529178,0.30752588110959306,-23.865514636487482,-74.82683762909772,-3.041985707358954,-780.302725557083,0.0,1,86.1766607529178
PF2_Equity_Yield,USD,USD,CappedCapitalProtectedNote,AAPL,AAPL,6M-1Y,atm,110.58156781608166,0.22988377122137832,0.0019371019262380965,35.3627813948107,-8.276210024121314,120.71562804883513,0.0,1,110.58156781608166
PF3_Convexity_Protection,EUR,EUR,BasisSwap,EUR_RATE_CURVE,EUR_RATE_CURVE,5Y-10Y,NA,3.4924596548080444e-10,0.0,0.0,0.0,0.0,-2.3283064365386963e-06,2.3283064365386963e-10,1,3.4924596548080444e-10
PF3_Convexity_Protection,EUR,EUR,InterestRateSwap,EUR_RATE_CURVE,EUR_RATE_CURVE,1Y-2Y,NA,50307.37643349367,0.0,0.0,0.0,0.0,963192.8246656025,-96.31928246656025,1,50307.37643349367
PF3_Convexity_Protection,USD,USD,BarrierOption,AAPL,AAPL,0-6M,atm,43095.960164989505,-836.0504278384655,-43.842188825383715,-339329.96385781834,165163.15582799225,14924.806366034409,0.0,1,43095.960164989505
PF4_Balanced_Multi_Product,EUR,EUR,InterestRateSwap,EUR_RATE_CURVE,EUR_RATE_CURVE,10Y+,NA,1997540.4968210577,0.0,0.0,0.0,0.0,89455301.46378325,-8945.530146378325,1,1997540.4968210577
PF4_Balanced_Multi_Product,USD,USD,AutocallProduct,AAPL,AAPL,5Y-10Y,NA,86.1766607529178,0.30752588110959306,-23.865514636487482,-74.82683762909772,-3.041985707358954,-780.302725557083,0.0,1,86.1766607529178
PF4_Balanced_Multi_Product,USD,USD,Butterfly,AAPL,AAPL,0-6M,low,2051422.698009166,1321.4178560390865,-325.1496163503962,-2378175.6342798807,1208314.8583711851,-576259.7842178764,0.0,1,2051422.698009166
PF4_Balanced_Multi_Product,USD,USD,ReverseConvertible,AAPL,AAPL,1Y-2Y,atm,47.00002645133897,0.07079100116083781,-0.0006376568006440283,-25.480728283697207,1.5038215302480862,146.78059565417783,0.0,1,47.00002645133897
