snapshot,underlying,maturity_bucket,strike_bucket,price,delta,gamma,vega,theta,rho,dv01,line_count,gross_price
notebook_application_demo_v3,<NA>,10Y+,NA,1239989.9694680218,0.0,0.0,0.0,0.0,93633815.48421457,-9363.381548421457,1,1239989.9694680218
notebook_application_demo_v3,<NA>,1Y-2Y,NA,262774.31871330243,0.0,0.0,0.0,0.0,6616197.747840779,-661.6197747840779,2,262774.31871330243
notebook_application_demo_v3,<NA>,5Y-10Y,NA,1.6298145055770874e-09,0.0,0.0,0.0,0.0,3.725290298461914e-05,-3.725290298461914e-09,1,1.6298145055770874e-09
notebook_application_demo_v3,<NA>,6M-1Y,NA,7218.140645746273,0.0,0.0,0.0,0.0,835059.2530557333,-83.50592530557333,1,7218.140645746273
notebook_application_demo_v3,AAPL,0-6M,atm,4359336.047489062,26399.788605095615,896.7670482199353,5463838.359776183,-4247601.640365936,2304800.949547493,0.0,4,4359336.047489062
notebook_application_demo_v3,AAPL,0-6M,low,219815.11609876435,12900.281873348053,274.42082009975,-3067793.625325488,5399531.919915864,1044444.7610312104,0.0,1,219815.11609876435
notebook_application_demo_v3,AAPL,1Y-2Y,atm,99.44092379180987,0.13867612630980314,-0.0019708141292406863,-50.59979488680583,1.3718601725473858,278.73020994666695,0.0,1,99.44092379180987
notebook_application_demo_v3,AAPL,2Y-5Y,atm,109.2429218367219,0.26233615875240335,0.0015291377718637956,60.64259619523588,-3.941228922021351,396.5291619004381,0.0,1,109.2429218367219
notebook_application_demo_v3,AAPL,5Y-10Y,NA,77.8378529425188,4.302586856495084e-06,-2.143880971545399e-11,0.2146987843332463,-1.6433419870493289,0.0,0.0,1,77.8378529425188
notebook_application_demo_v3,AAPL,6M-1Y,atm,149.02641361221507,0.10964367265921299,-0.0002424530019646525,-30.98316931483026,39.424152815879125,235.69556465259166,0.0,2,149.02641361221507
notebook_application_demo_v3,AAPL,6M-1Y,low,-1236198.325434424,12324.07983666247,-75.34228357763851,-1799782.2709634341,729109.1694719926,2595396.3664312987,0.0,1,1236198.325434424
